iter	Passed	Remaining
0	1	140
1	3	165
2	8	281
3	10	248
4	11	225
5	14	219
6	15	202
7	16	188
8	18	187
9	19	179
10	21	172
11	23	175
12	25	170
13	29	180
14	30	174
15	33	174
16	34	169
17	36	168
18	39	167
19	40	162
20	41	156
21	42	152
22	44	147
23	45	144
24	47	142
25	49	142
26	58	157
27	60	154
28	61	150
29	63	147
30	64	143
31	66	140
32	67	137
33	72	140
34	75	139
35	76	135
36	77	132
37	81	132
38	85	133
39	86	130
40	89	128
41	89	123
42	91	120
43	92	118
44	94	115
45	95	111
46	98	110
47	101	109
48	103	107
49	104	104
50	105	101
51	106	98
52	107	95
53	108	92
54	108	89
55	109	86
56	110	83
57	111	81
58	113	79
59	115	76
60	116	74
61	117	72
62	118	69
63	119	67
64	120	64
65	121	62
66	122	60
67	123	58
68	124	56
69	125	53
70	126	51
71	128	50
72	129	48
73	130	45
74	131	43
75	132	41
76	133	39
77	134	38
78	135	36
79	136	34
80	137	32
81	138	30
82	139	28
83	140	26
84	141	25
85	143	23
86	144	21
87	145	19
88	147	18
89	148	16
90	149	14
91	150	13
92	151	11
93	152	9
94	153	8
95	153	6
96	154	4
97	156	3
98	158	1
99	159	0
