iter	Passed	Remaining
0	189	189570
1	193	96600
2	196	65224
3	198	49420
4	201	40109
5	203	33787
6	205	29186
7	207	25697
8	208	22972
9	210	20795
10	211	19012
11	212	17517
12	214	16253
13	218	15415
14	220	14474
15	222	13673
16	223	12942
17	224	12273
18	226	11693
19	227	11156
20	228	10665
21	232	10322
22	233	9914
23	234	9544
24	235	9201
25	237	8881
26	238	8586
27	239	8317
28	240	8066
29	242	7828
30	243	7611
31	246	7467
32	248	7272
33	249	7087
34	250	6916
35	252	6753
36	253	6600
37	254	6453
38	256	6316
39	257	6180
40	260	6083
41	261	5970
42	262	5853
43	264	5741
44	265	5631
45	266	5525
46	267	5424
47	268	5330
48	269	5238
49	271	5151
50	272	5072
51	275	5017
52	276	4945
53	278	4872
54	279	4800
55	280	4731
56	282	4668
57	283	4608
58	285	4546
59	286	4483
60	287	4425
61	289	4386
62	291	4339
63	292	4284
64	294	4229
65	295	4177
66	296	4124
67	297	4076
68	298	4031
69	300	3986
70	301	3944
71	302	3901
72	305	3875
73	306	3840
74	308	3799
75	309	3759
76	310	3720
77	311	3682
78	312	3647
79	314	3611
80	315	3578
81	316	3546
82	317	3506
83	320	3491
84	321	3465
85	323	3435
86	324	3404
87	325	3375
88	326	3346
89	328	3320
90	329	3293
91	330	3265
92	331	3237
93	334	3221
94	336	3202
95	337	3177
96	338	3154
97	340	3130
98	341	3105
99	342	3084
100	343	3060
101	345	3037
102	346	3016
103	347	2997
104	349	2980
105	350	2960
106	352	2940
107	354	2924
108	356	2912
109	358	2904
110	360	2889
111	363	2880
112	364	2862
113	365	2843
114	366	2824
115	368	2805
116	369	2787
117	372	2781
118	375	2782
119	377	2765
120	378	2749
121	379	2730
122	381	2720
123	382	2705
124	383	2687
125	385	2671
126	385	2653
127	387	2638
128	391	2640
129	392	2627
130	393	2613
131	395	2600
132	396	2587
133	398	2573
134	399	2557
135	400	2541
136	401	2526
137	401	2511
138	404	2505
139	405	2493
140	406	2479
141	407	2463
142	408	2448
143	409	2436
144	410	2422
145	411	2408
146	412	2394
147	413	2381
148	414	2367
149	415	2354
150	416	2341
151	417	2330
152	419	2322
153	421	2313
154	422	2302
155	424	2294
156	425	2282
157	426	2270
158	427	2258
159	428	2247
160	428	2233
161	429	2222
162	430	2210
163	431	2199
164	433	2196
165	435	2187
166	436	2177
167	437	2166
168	438	2156
169	439	2145
170	440	2135
171	441	2124
172	442	2114
173	443	2104
174	444	2094
175	445	2084
176	446	2074
177	448	2072
178	450	2066
179	451	2056
180	452	2047
181	453	2037
182	454	2028
183	455	2018
184	456	2009
185	457	2000
186	457	1991
187	458	1982
188	459	1973
189	460	1964
190	463	1962
191	465	1957
192	466	1948
193	467	1940
194	467	1931
195	468	1923
196	469	1914
197	470	1906
198	471	1898
199	472	1890
200	473	1882
201	474	1874
202	475	1866
203	476	1860
204	479	1858
205	480	1851
206	481	1843
207	482	1836
